date,cases
3/13/2021,2569864
3/12/2021,2559296
3/11/2021,2546526
3/10/2021,2541781
3/9/2021,2520618
3/8/2021,2513784
3/7/2021,2508655
3/6/2021,2502151
3/5/2021,2493887
3/4/2021,2484306
3/3/2021,2472913
3/2/2021,2462061
3/1/2021,2455569
2/28/2021,2450295
2/27/2021,2444177
2/26/2021,2436506
2/25/2021,2427069
2/24/2021,2416037
2/23/2021,2405263
2/22/2021,2399499
2/21/2021,2394515
2/20/2021,2388421
2/19/2021,2381259
2/18/2021,2372209
2/17/2021,2362364
2/16/2021,2352766
2/15/2021,2346876
2/14/2021,2341744
2/13/2021,2336906
2/12/2021,2330422
2/11/2021,2321225
2/10/2021,2311297
2/9/2021,2302051
2/8/2021,2296323
2/7/2021,2291673
2/6/2021,2285003
2/5/2021,2276371
2/4/2021,2265536
2/3/2021,2252504
2/2/2021,2240017
2/1/2021,2232327
1/31/2021,2225659
1/30/2021,2224911
1/29/2021,2207393
1/28/2021,2194562
1/27/2021,2179679
1/26/2021,2164043
1/25/2021,2154656
1/24/2021,2147769
1/23/2021,2137691
1/22/2021,2125261
1/21/2021,2108895
1/20/2021,2100618
1/19/2021,2071615
1/18/2021,2059382
1/17/2021,2050129
1/16/2021,2038645
1/15/2021,2023828
1/14/2021,2015235
1/13/2021,1993892
1/12/2021,1968326
1/11/2021,1941116
1/10/2021,1929410
1/9/2021,1928462
1/8/2021,1905638
1/7/2021,1886561
1/6/2021,1841228
1/5/2021,1814565
1/4/2021,1796216
1/3/2021,1783896
1/2/2021,1773540
1/1/2021,1762637
12/31/2020,1760520
12/30/2020,1741153
12/29/2020,1692109
12/28/2020,1672643
12/27/2020,1658639
12/26/2020,1646240
12/25/2020,1632736
12/24/2020,1630596
12/23/2020,1604129
12/22/2020,1570371
12/21/2020,1534218
12/20/2020,1514962
12/19/2020,1508518
12/18/2020,1486839
12/17/2020,1454009
12/16/2020,1423830
12/15/2020,1391086
12/14/2020,1357261
12/13/2020,1350810
12/12/2020,1336101
12/11/2020,1314309
12/10/2020,1287092
12/9/2020,1254358
12/8/2020,1229269
12/7/2020,1200006
12/6/2020,1194550
12/5/2020,1183640
12/4/2020,1157514
12/3/2020,1141544
12/2/2020,1117953
12/1/2020,1094678
11/30/2020,1069912
11/29/2020,1055691
11/28/2020,1052494
11/27/2020,1038649
11/26/2020,1017830
11/25/2020,995879
11/24/2020,963192
11/23/2020,946822
11/22/2020,932367
11/21/2020,927990
11/20/2020,914118
11/19/2020,891525
11/18/2020,867484
11/17/2020,843757
11/16/2020,817526
11/15/2020,802946
11/14/2020,799733
11/13/2020,785093
11/12/2020,762832
11/11/2020,738094
11/10/2020,715693
11/9/2020,689146
11/8/2020,682624
11/7/2020,668114
11/6/2020,653992
11/5/2020,631172
11/4/2020,608611
11/3/2020,577131
11/2/2020,569598
11/1/2020,544346
10/31/2020,531790
10/30/2020,517736
10/29/2020,498354
10/28/2020,479621
10/27/2020,463419
10/26/2020,450258
10/25/2020,437698
10/24/2020,427808
10/23/2020,417350
10/22/2020,403874
10/21/2020,397922
10/20/2020,385591
10/19/2020,377068
10/18/2020,368671
10/17/2020,364664
10/16/2020,359802
10/15/2020,352107
10/14/2020,344487
10/13/2020,337314
10/12/2020,332850
10/11/2020,326309
10/10/2020,323463
10/9/2020,320495
10/8/2020,315941
10/7/2020,311137
10/6/2020,307127
10/5/2020,304673
10/4/2020,301573
10/3/2020,300027
10/2/2020,298374
10/1/2020,295539
9/30/2020,292913
9/29/2020,290471
9/28/2020,288631
9/27/2020,286339
9/26/2020,285026
9/25/2020,283712
9/24/2020,281346
9/23/2020,279025
9/22/2020,277412
9/21/2020,275560
9/20/2020,273965
9/19/2020,272932
9/18/2020,271247
9/17/2020,269048
9/16/2020,266869
9/15/2020,265014
9/14/2020,263222
9/13/2020,261737
9/12/2020,260817
9/11/2020,259735
9/10/2020,258149
9/9/2020,256433
9/8/2020,254957
9/7/2020,253626
9/6/2020,251728
9/5/2020,251058
9/4/2020,250283
9/3/2020,248840
9/2/2020,247411
9/1/2020,246015
8/31/2020,244802
8/30/2020,243305
8/29/2020,242835
8/28/2020,242126
8/27/2020,240571
8/26/2020,239010
8/25/2020,237583
8/24/2020,236122
8/23/2020,234494
8/22/2020,233861
8/21/2020,233029
8/20/2020,231292
8/19/2020,229706
8/18/2020,228120
8/17/2020,226700
8/16/2020,225007
8/15/2020,224488
8/14/2020,223791
8/13/2020,222281
8/12/2020,220859
8/11/2020,219540
8/10/2020,218508
8/9/2020,217288
8/8/2020,216903
8/7/2020,216196
8/6/2020,215039
8/5/2020,214113
8/4/2020,212828
8/3/2020,212111
8/2/2020,211220
8/1/2020,211005
7/31/2020,210399
7/30/2020,209535
7/29/2020,208546
7/28/2020,207707
7/27/2020,207112
7/26/2020,206667
7/25/2020,206278
7/24/2020,205623
7/23/2020,204881
7/22/2020,204276
7/21/2020,203717
7/20/2020,203325
7/19/2020,202735
7/18/2020,202426
7/17/2020,202045
7/16/2020,201450
7/15/2020,200890
7/14/2020,200456
7/13/2020,200180
7/12/2020,199919
7/11/2020,199709
7/10/2020,199332
7/9/2020,199001
7/8/2020,198699
7/7/2020,198343
7/6/2020,198064
7/5/2020,197523
7/4/2020,197198
7/3/2020,196780
7/2/2020,196370
7/1/2020,195893
6/30/2020,195418
6/29/2020,195042
6/28/2020,194693
6/27/2020,194458
6/26/2020,194036
6/25/2020,193371
6/24/2020,192871
6/23/2020,192480
6/22/2020,191768
6/21/2020,191272
6/20/2020,190670
6/19/2020,190299
6/18/2020,189817
6/17/2020,188604
6/16/2020,188252
6/15/2020,187682
6/14/2020,187518
6/13/2020,187267
6/12/2020,187226
6/11/2020,186691
6/10/2020,186522
6/9/2020,186506
6/8/2020,186109
6/7/2020,185750
6/6/2020,185450
6/5/2020,184924
6/4/2020,184472
6/3/2020,184121
6/2/2020,183879
6/1/2020,183594
5/31/2020,183410
5/30/2020,183189
5/29/2020,182922
5/28/2020,182196
5/27/2020,181524
5/26/2020,181200
5/25/2020,180600
5/24/2020,180328
5/23/2020,179986
5/22/2020,179710
5/21/2020,179021
5/20/2020,178473
5/19/2020,177778
5/18/2020,176551
5/17/2020,176369
5/16/2020,175752
5/15/2020,175233
5/14/2020,174478
5/13/2020,174098
5/12/2020,173171
5/11/2020,172576
5/10/2020,171879
5/9/2020,171324
5/8/2020,170588
5/7/2020,169430
5/6/2020,168162
5/5/2020,167007
5/4/2020,166152
5/3/2020,165664
5/2/2020,164967
5/1/2020,164077
4/30/2020,163009
4/29/2020,161539
4/28/2020,159912
4/27/2020,158758
4/26/2020,157770
4/25/2020,156513
4/24/2020,154999
4/23/2020,153129
4/22/2020,150648
4/21/2020,148291
4/20/2020,147065
4/19/2020,145184
4/18/2020,143342
4/17/2020,141397
4/16/2020,137698
4/15/2020,134753
4/14/2020,131359
4/13/2020,130072
4/12/2020,127854
4/11/2020,124908
4/10/2020,122171
4/9/2020,118181
4/8/2020,113296
4/7/2020,107663
4/6/2020,103374
4/5/2020,100123
4/4/2020,96092
4/3/2020,91159
4/2/2020,84794
4/1/2020,77872
3/31/2020,71808
3/30/2020,66885
3/29/2020,62095
3/28/2020,57695
3/27/2020,50871
3/26/2020,43938
3/25/2020,37323
3/24/2020,32986
3/23/2020,29056
3/22/2020,24873
3/21/2020,22213
3/20/2020,19848
3/19/2020,15320
3/18/2020,12327
3/17/2020,9257
3/16/2020,7272
3/15/2020,5795
3/14/2020,4585
3/13/2020,3675
3/12/2020,2078
3/11/2020,1908
3/10/2020,1457
3/9/2020,1176
3/8/2020,1040
3/7/2020,799
3/6/2020,670
3/5/2020,482
3/4/2020,262
3/3/2020,196
3/2/2020,159
3/1/2020,130
2/29/2020,79
2/28/2020,48
2/27/2020,46
2/26/2020,27
2/25/2020,17
2/24/2020,16
2/23/2020,16
2/22/2020,16
2/21/2020,16
2/20/2020,16
2/19/2020,16
2/18/2020,16
2/17/2020,16
2/16/2020,16
2/15/2020,16
2/14/2020,16
2/13/2020,16
2/12/2020,16
2/11/2020,16
2/10/2020,14
2/9/2020,14
2/8/2020,13
2/7/2020,13
2/6/2020,12
2/5/2020,12
2/4/2020,12
2/3/2020,12
2/2/2020,10
2/1/2020,8
1/31/2020,5
1/30/2020,4
1/29/2020,4
1/28/2020,4
1/27/2020,1
