date,high
3/15/2021,2062.3
3/12/2021,2085
3/11/2021,2074.06
3/10/2021,2071.76
3/9/2021,2070
3/8/2021,2101.13
3/5/2021,2073.12
3/4/2021,2023.37
3/3/2021,2067.21
3/2/2021,2076.19
3/1/2021,2056.52
2/26/2021,2050.52
2/25/2021,2067.45
2/24/2021,2041.83
2/23/2021,2025.01
2/22/2021,2067
2/19/2021,2119.27
2/18/2021,2110.39
2/17/2021,2100
2/16/2021,2104.36
2/12/2021,2090.25
2/11/2021,2099.51
2/10/2021,2094.21
2/9/2021,2078.54
2/8/2021,2105.91
2/5/2021,2070
2/4/2021,2068.89
2/3/2021,2073
2/2/2021,1922.56
2/1/2021,1853.57
1/29/2021,1846.17
1/28/2021,1843.94
1/27/2021,1882.53
1/26/2021,1888.84
1/25/2021,1920.67
1/22/2021,1895.68
1/21/2021,1898
1/20/2021,1831.46
1/19/2021,1752.25
1/15/2021,1738.19
1/14/2021,1753.62
1/13/2021,1738.58
1/12/2021,1753.92
1/11/2021,1786.07
1/8/2021,1787.98
1/7/2021,1740.06
1/6/2021,1702.63
1/5/2021,1725
1/4/2021,1757.54
12/31/2020,1735.42
12/30/2020,1762.01
12/29/2020,1787.79
12/28/2020,1751.64
12/24/2020,1735
12/23/2020,1728.11
12/22/2020,1734.43
12/21/2020,1713.51
12/18/2020,1754.18
12/17/2020,1768.51
12/16/2020,1772.88
12/15/2020,1764.42
12/14/2020,1775
12/11/2020,1763.06
12/10/2020,1769.8
12/9/2020,1812.01
12/8/2020,1810.1
12/7/2020,1819
12/4/2020,1824.52
12/3/2020,1824.01
12/2/2020,1798.1
12/1/2020,1774.37
11/30/2020,1781.18
11/27/2020,1773.09
11/25/2020,1772.89
11/24/2020,1730.5
11/23/2020,1749.6
11/20/2020,1765.21
11/19/2020,1738.38
11/18/2020,1765.23
11/17/2020,1776.94
11/16/2020,1771.7
11/13/2020,1757.63
11/12/2020,1747.63
11/11/2020,1750
11/10/2020,1731.09
11/9/2020,1790.9
11/6/2020,1753.95
11/5/2020,1781
11/4/2020,1710.28
11/3/2020,1631.78
11/2/2020,1628.16
10/30/2020,1672.11
10/29/2020,1522.36
10/28/2020,1559.74
10/27/2020,1595.67
10/26/2020,1625.01
10/23/2020,1626.07
10/22/2020,1593.05
10/21/2020,1573.33
10/20/2020,1527.05
10/19/2020,1580.46
10/16/2020,1565.85
10/15/2020,1547.15
10/14/2020,1578.59
10/13/2020,1583.73
10/12/2020,1543
10/9/2020,1494.7
10/8/2020,1465.09
10/7/2020,1464.29
10/6/2020,1475.58
10/5/2020,1466.21
10/2/2020,1462.03
10/1/2020,1484.27
9/30/2020,1466.8
9/29/2020,1470.39
9/28/2020,1474.21
9/25/2020,1432.63
9/24/2020,1411.03
9/23/2020,1458.78
9/22/2020,1450.09
9/21/2020,1440.06
9/18/2020,1498.01
9/17/2020,1496
9/16/2020,1555.54
9/15/2020,1536
9/14/2020,1539.01
9/11/2020,1536
9/10/2020,1560.64
9/9/2020,1557.53
9/8/2020,1533.51
9/4/2020,1624.26
9/3/2020,1709.71
9/2/2020,1673.78
9/1/2020,1636.63
8/31/2020,1647.89
8/28/2020,1633.49
8/27/2020,1653.68
8/26/2020,1608
8/25/2020,1582.07
8/24/2020,1593.98
8/21/2020,1577.03
8/20/2020,1543.45
8/19/2020,1553.31
8/18/2020,1526.18
8/17/2020,1514.67
8/14/2020,1515.66
8/13/2020,1510.34
8/12/2020,1485.58
8/11/2020,1492.44
8/10/2020,1487.18
8/7/2020,1500
8/6/2020,1471.75
8/5/2020,1469.3
8/4/2020,1476.57
8/3/2020,1486.64
7/31/2020,1505.01
7/30/2020,1497
7/29/2020,1506.32
7/28/2020,1525.18
7/27/2020,1515.6
7/24/2020,1498.93
7/23/2020,1566.97
7/22/2020,1560.5
7/21/2020,1586.99
7/20/2020,1515.26
7/17/2020,1521.62
7/16/2020,1500
7/15/2020,1523.13
7/14/2020,1490.31
7/13/2020,1550
7/10/2020,1506.15
7/9/2020,1506.45
7/8/2020,1494.32
7/7/2020,1490
7/6/2020,1480.06
7/2/2020,1446.94
7/1/2020,1411.1
6/30/2020,1390.44
6/29/2020,1358.18
6/26/2020,1431.39
6/25/2020,1429.9
6/24/2020,1461.51
6/23/2020,1455.64
6/22/2020,1429
6/19/2020,1444
6/18/2020,1449.16
6/17/2020,1447.16
6/16/2020,1445.22
6/15/2020,1390.8
6/12/2020,1428.49
6/11/2020,1442.48
6/10/2020,1459.54
6/9/2020,1445.36
6/8/2020,1422.34
6/5/2020,1413.17
6/4/2020,1430.4
6/3/2020,1438.3
6/2/2020,1430.55
6/1/2020,1418.39
5/29/2020,1416.94
5/28/2020,1396.86
5/27/2020,1417.25
5/26/2020,1437.27
5/22/2020,1396.71
5/21/2020,1408
5/20/2020,1389.58
5/19/2020,1387
5/18/2020,1361.75
5/15/2020,1350
5/14/2020,1335.02
5/13/2020,1377.05
5/12/2020,1407.12
5/11/2020,1378.28
5/8/2020,1383.13
5/7/2020,1365.94
5/6/2020,1361.69
5/5/2020,1337.92
5/4/2020,1308.23
5/1/2020,1328.5
4/30/2020,1324.88
4/29/2020,1341.46
4/28/2020,1287.93
4/27/2020,1296
4/24/2020,1261.17
4/23/2020,1271.55
4/22/2020,1245.54
4/21/2020,1247
4/20/2020,1271
4/17/2020,1284.85
4/16/2020,1274.1
4/15/2020,1245.61
4/14/2020,1245.09
4/13/2020,1209.18
4/9/2020,1224.08
4/8/2020,1206.5
4/7/2020,1221
4/6/2020,1138
4/3/2020,1119.02
4/2/2020,1098.26
4/1/2020,1122
3/31/2020,1147.3
3/30/2020,1125.04
3/27/2020,1125.67
3/26/2020,1111.8
3/25/2020,1126.47
3/24/2020,1103.77
3/23/2020,1061.32
3/20/2020,1135.72
3/19/2020,1093.05
3/18/2020,1056.51
3/17/2020,1093.11
3/16/2020,1096
